tile_id,category,year,path,thumb,lon,lat,epsg,x0,y0,x1,y1,smod_code,crop_frac,built_frac,open_frac,water_frac,valid_fraction,ndvi_mean,ndbi_mean,n_scenes,mean_scene_cloud_pct,bands,downloaded_utc
32642_270_1179,open_land,2025,india_tiles/tiles/open_land/32642_270_1179_2025.tif,india_tiles/thumbs/32642_270_1179.jpg,70.94976180723071,27.276927186453733,32642,691200,3018240,693760,3020800,11,0.0473,0,0.9518,0,1.0,0.1351,0.1026,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:50+00:00
32644_209_1091,urban_areas,2025,india_tiles/tiles/urban_areas/32644_209_1091_2025.tif,india_tiles/thumbs/32644_209_1091.jpg,81.37012446121607,25.26189502367149,32644,535040,2792960,537600,2795520,23,0.7334,0.1004,0.0399,0.0013,1.0,0.428,-0.0812,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:51+00:00
32643_147_1248,open_land,2021,india_tiles/tiles/open_land/32643_147_1248_2021.tif,,73.74478848645208,28.88021685085632,32643,376320,3194880,378880,3197440,11,0.0871,0,0.7843,0,1.0,0.1103,0.1174,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:54+00:00
32643_149_802,city_structures,2025,india_tiles/tiles/city_structures/32643_149_802_2025.tif,india_tiles/thumbs/32643_149_802.jpg,73.88840201532787,18.57714166336314,32643,381440,2053120,384000,2055680,30,0.0756,0.502,0.105,0.012,1.0,0.3058,0.0032,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:54+00:00
32643_154_767,agriculture,2025,india_tiles/tiles/agriculture/32643_154_767_2025.tif,india_tiles/thumbs/32643_154_767.jpg,74.00400880751951,17.760650621163858,32643,394240,1963520,396800,1966080,11,0.7156,0.0204,0.0075,0.0013,1.0,0.4699,-0.1027,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:00:59+00:00
32643_255_1478,open_land,2025,india_tiles/tiles/open_land/32643_255_1478_2025.tif,india_tiles/thumbs/32643_255_1478.jpg,76.67966595671167,34.201250115573934,32643,652800,3783680,655360,3786240,11,0,0,0.979,0,1.0,0.0157,-0.2764,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:01+00:00
32643_146_801,city_structures,2025,india_tiles/tiles/city_structures/32643_146_801_2025.tif,india_tiles/thumbs/32643_146_801.jpg,73.81768574325694,18.544123671597138,32643,373760,2050560,376320,2053120,30,0.0405,0.3899,0.0262,0,1.0,0.4019,-0.0427,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:02+00:00
32643_129_1210,city_structures,2025,india_tiles/tiles/city_structures/32643_129_1210_2025.tif,india_tiles/thumbs/32643_129_1210.jpg,73.28782361335455,27.996862730494502,32643,330240,3097600,332800,3100160,30,0.036,0.6567,0.2102,0,1.0,0.1969,0.0361,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:04+00:00
32644_153_552,urban_areas,2025,india_tiles/tiles/urban_areas/32644_153_552_2025.tif,india_tiles/thumbs/32644_153_552.jpg,80.00251276283392,12.799159912929417,32644,391680,1413120,394240,1415680,21,0.1833,0.3342,0.0605,0,1.0,0.4655,-0.0435,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:06+00:00
32643_272_887,agriculture,2025,india_tiles/tiles/agriculture/32643_272_887_2025.tif,india_tiles/thumbs/32643_272_887.jpg,76.89099982972849,20.546278107944755,32643,696320,2270720,698880,2273280,11,0.9358,0.0178,0.0225,0,1.0,0.3926,-0.0315,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:07+00:00
32644_126_1419,open_land,2025,india_tiles/tiles/open_land/32644_126_1419_2025.tif,india_tiles/thumbs/32644_126_1419.jpg,79.12334135369494,32.82329985588877,32644,322560,3632640,325120,3635200,11,0,0,0.9718,0,1.0,0.1063,0.0952,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:08+00:00
32644_164_565,city_structures,2025,india_tiles/tiles/city_structures/32644_164_565_2025.tif,india_tiles/thumbs/32644_164_565.jpg,80.28394677032394,13.093199657048796,32644,419840,1446400,422400,1448960,30,0.0024,0.8224,0.0113,0.0021,1.0,0.2438,0.0432,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:09+00:00
32645_152_1142,urban_areas,2025,india_tiles/tiles/urban_areas/32645_152_1142_2025.tif,india_tiles/thumbs/32645_152_1142.jpg,85.8959450948034,26.44906956492885,32645,389120,2923520,391680,2926080,21,0.5986,0.1575,0.0113,0.0017,1.0,0.4267,-0.0841,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:10+00:00
32643_147_862,city_structures,2025,india_tiles/tiles/city_structures/32643_147_862_2025.tif,india_tiles/thumbs/32643_147_862.jpg,73.83362094455144,19.974442909866497,32643,376320,2206720,378880,2209280,30,0.0968,0.6612,0.0286,0,1.0,0.3237,-0.0142,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:12+00:00
32643_115_825,urban_areas,2025,india_tiles/tiles/urban_areas/32643_115_825_2025.tif,india_tiles/thumbs/32643_115_825.jpg,73.06115328287859,19.105764579903468,32643,294400,2112000,296960,2114560,23,0.2881,0.2125,0.1063,0.0009,1.0,0.3495,0.0309,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:13+00:00
32644_238_949,urban_areas,2025,india_tiles/tiles/urban_areas/32644_238_949_2025.tif,india_tiles/thumbs/32644_238_949.jpg,82.0618106544213,21.983657267439018,32644,609280,2429440,611840,2432000,21,0.6726,0.1061,0.1568,0.0041,1.0,0.3306,0.0151,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:13+00:00
32643_304_1292,city_structures,2025,india_tiles/tiles/city_structures/32643_304_1292_2025.tif,india_tiles/thumbs/32643_304_1292.jpg,77.90094386971374,29.87740743992535,32643,778240,3307520,780800,3310080,30,0.1879,0.5094,0.0416,0.0273,1.0,0.3027,-0.0122,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:15+00:00
32643_128_1114,city_structures,2025,india_tiles/tiles/city_structures/32643_128_1114_2025.tif,india_tiles/thumbs/32643_128_1114.jpg,73.30676460482138,25.783358348037485,32643,327680,2851840,330240,2854400,30,0.4429,0.3987,0.0281,0.0059,1.0,0.2926,0.0036,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:18+00:00
32644_134_485,agriculture,2025,india_tiles/tiles/agriculture/32644_134_485_2025.tif,india_tiles/thumbs/32644_134_485.jpg,79.56685521330179,11.249378133041457,32644,343040,1241600,345600,1244160,11,0.8976,0.0043,0.0024,0.0002,1.0,0.4856,-0.071,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:18+00:00
32644_101_1389,open_land,2025,india_tiles/tiles/open_land/32644_101_1389_2025.tif,india_tiles/thumbs/32644_101_1389.jpg,78.44968500097835,32.11582488046308,32644,258560,3555840,261120,3558400,11,0,0,0.8096,0.011,1.0,-0.0078,-0.4241,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:18+00:00
32646_176_1096,open_land,2025,india_tiles/tiles/open_land/32646_176_1096_2025.tif,india_tiles/thumbs/32646_176_1096.jpg,92.51093709026834,25.37956979032006,32646,450560,2805760,453120,2808320,12,0.0327,0.0002,0.7785,0.0004,1.0,0.5546,-0.0165,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:20+00:00
32644_155_1329,open_land,2025,india_tiles/tiles/open_land/32644_155_1329_2025.tif,india_tiles/thumbs/32644_155_1329.jpg,79.94445876800317,30.749836493478124,32644,396800,3402240,399360,3404800,11,0,0,0.8385,0.004,1.0,-0.0024,-0.465,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:22+00:00
32643_282_471,urban_areas,2025,india_tiles/tiles/urban_areas/32643_282_471_2025.tif,india_tiles/thumbs/32643_282_471.jpg,77.03851945965815,10.915384877281445,32643,721920,1205760,724480,1208320,23,0.0925,0.2324,0.5467,0,1.0,0.3386,0.0632,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:24+00:00
32644_223_930,agriculture,2025,india_tiles/tiles/agriculture/32644_223_930_2025.tif,india_tiles/thumbs/32644_223_930.jpg,81.6895752858432,21.551047998959085,32644,570880,2380800,573440,2383360,11,0.7782,0.0491,0.1413,0.0215,1.0,0.2894,0.0191,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:24+00:00
32643_154_859,open_land,2025,india_tiles/tiles/open_land/32643_154_859_2025.tif,india_tiles/thumbs/32643_154_859.jpg,74.00899011902746,19.899914465301684,32643,394240,2199040,396800,2201600,11,0.0819,0.0009,0.7717,0,1.0,0.3273,0.0694,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:24+00:00
32643_200_1151,urban_areas,2025,india_tiles/tiles/urban_areas/32643_200_1151_2025.tif,india_tiles/thumbs/32643_200_1151.jpg,75.14445604553659,26.65159847751287,32643,512000,2946560,514560,2949120,22,0.5411,0.1012,0.2727,0.0126,1.0,0.3129,0.0383,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:29+00:00
32644_113_912,city_structures,2021,india_tiles/tiles/city_structures/32644_113_912_2021.tif,,78.97564371755067,21.11062400671393,32644,289280,2334720,291840,2337280,30,0.1689,0.4615,0.1941,0.0007,1.0,0.2868,0.0501,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:29+00:00
32643_314_920,agriculture,2025,india_tiles/tiles/agriculture/32643_314_920_2025.tif,india_tiles/thumbs/32643_314_920.jpg,77.94171240649956,21.293380454318612,32643,803840,2355200,806400,2357760,11,0.8223,0.0053,0.1402,0.0018,1.0,0.4011,-0.0333,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:31+00:00
32643_304_476,urban_areas,2025,india_tiles/tiles/urban_areas/32643_304_476_2025.tif,india_tiles/thumbs/32643_304_476.jpg,77.56898010939388,11.013123935259726,32643,778240,1218560,780800,1221120,23,0.3027,0.196,0.3289,0,1.0,0.3446,0.047,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:32+00:00
32642_225_1163,open_land,2025,india_tiles/tiles/open_land/32642_225_1163_2025.tif,india_tiles/thumbs/32642_225_1163.jpg,69.781887801776,26.921849418154714,32642,576000,2977280,578560,2979840,11,0,0,0.9558,0,1.0,0.0758,0.109,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:01:33+00:00
32643_178_1242,agriculture,2025,india_tiles/tiles/agriculture/32643_178_1242_2025.tif,india_tiles/thumbs/32643_178_1242.jpg,74.56170492019216,28.744133480850028,32643,455680,3179520,458240,3182080,11,0.8046,0,0.1525,0,1.0,0.1691,0.0998,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:14+00:00
32643_147_862,city_structures,2021,india_tiles/tiles/city_structures/32643_147_862_2021.tif,,73.83362094455144,19.974442909866497,32643,376320,2206720,378880,2209280,30,0.0968,0.6612,0.0286,0,1.0,0.3196,-0.004,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:15+00:00
32643_284_1511,open_land,2025,india_tiles/tiles/open_land/32643_284_1511_2025.tif,india_tiles/thumbs/32643_284_1511.jpg,77.50139261210626,34.94135884868198,32643,727040,3868160,729600,3870720,11,0,0,0.9639,0,1.0,0.0521,0.0137,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:15+00:00
32643_78_1005,agriculture,2025,india_tiles/tiles/agriculture/32643_78_1005_2025.tif,india_tiles/thumbs/32643_78_1005.jpg,72.08058506334216,23.251132522249286,32643,199680,2572800,202240,2575360,11,0.9859,0,0.0002,0,1.0,0.434,-0.0257,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:16+00:00
32644_105_625,urban_areas,2025,india_tiles/tiles/urban_areas/32644_105_625_2025.tif,india_tiles/thumbs/32644_105_625.jpg,78.86988869776943,14.483588525095985,32644,268800,1600000,271360,1602560,21,0.3379,0.181,0.0318,0,1.0,0.385,0.0172,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:16+00:00
32646_225_1064,urban_areas,2025,india_tiles/tiles/urban_areas/32646_225_1064_2025.tif,india_tiles/thumbs/32646_225_1064.jpg,93.76073811562573,24.63222526909281,32646,576000,2723840,578560,2726400,23,0.5012,0.1137,0.0177,0.0029,1.0,0.4715,-0.048,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:17+00:00
32642_273_1049,open_land,2025,india_tiles/tiles/open_land/32642_273_1049_2025.tif,india_tiles/thumbs/32642_273_1049.jpg,70.96614854930866,24.28013820948208,32642,698880,2685440,701440,2688000,11,0,0,1,0,1.0,0.0599,0.0929,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:17+00:00
32643_121_887,urban_areas,2025,india_tiles/tiles/urban_areas/32643_121_887_2025.tif,india_tiles/thumbs/32643_121_887.jpg,73.17636448195195,20.52969182170378,32643,309760,2270720,312320,2273280,23,0.1831,0.1271,0.092,0.0016,1.0,0.4474,-0.0767,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:17+00:00
32643_169_805,urban_areas,2025,india_tiles/tiles/urban_areas/32643_169_805_2025.tif,india_tiles/thumbs/32643_169_805.jpg,74.36451009708135,18.65969732275252,32643,432640,2060800,435200,2063360,22,0.5173,0.1175,0.2515,0.0064,1.0,0.359,-0.0675,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:17+00:00
32644_252_1061,open_land,2025,india_tiles/tiles/open_land/32644_252_1061_2025.tif,india_tiles/thumbs/32644_252_1061.jpg,82.43991417655283,24.56513218901542,32644,645120,2716160,647680,2718720,11,0.041,0.0005,0.7021,0,1.0,0.4062,0.105,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:18+00:00
32643_298_1491,open_land,2021,india_tiles/tiles/open_land/32643_298_1491_2021.tif,,77.88448332976166,34.47958846189371,32643,762880,3816960,765440,3819520,11,0,0,0.7656,0,1.0,-0.0149,-0.5974,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:18+00:00
32642_208_1042,open_land,2025,india_tiles/tiles/open_land/32642_208_1042_2025.tif,india_tiles/thumbs/32642_208_1042.jpg,69.33038983354791,24.129357561664882,32642,532480,2667520,535040,2670080,11,0,0,1,0,1.0,0.054,0.278,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:19+00:00
32643_286_1235,city_structures,2025,india_tiles/tiles/city_structures/32643_286_1235_2025.tif,india_tiles/thumbs/32643_286_1235.jpg,77.39147917562033,28.56562581764427,32643,732160,3161600,734720,3164160,30,0.1183,0.6147,0.1815,0.0019,1.0,0.2552,-0.012,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:21+00:00
32643_202_977,agriculture,2025,india_tiles/tiles/agriculture/32643_202_977_2025.tif,india_tiles/thumbs/32643_202_977.jpg,75.17688610176751,22.62517809332549,32643,517120,2501120,519680,2503680,11,0.912,0.0097,0.0644,0.0072,1.0,0.3986,-0.1001,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:21+00:00
32642_289_1195,open_land,2025,india_tiles/tiles/open_land/32642_289_1195_2025.tif,india_tiles/thumbs/32642_289_1195.jpg,71.4463697511252,27.657845815614042,32642,739840,3059200,742400,3061760,11,0.0598,0,0.8574,0,1.0,0.1406,0.0799,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:21+00:00
32644_142_1204,agriculture,2021,india_tiles/tiles/agriculture/32644_142_1204_2021.tif,,79.61639714425105,27.86120778543561,32644,363520,3082240,366080,3084800,11,0.9494,0.0114,0.0057,0,1.0,0.4278,-0.0855,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:21+00:00
32644_111_1463,open_land,2025,india_tiles/tiles/open_land/32644_111_1463_2025.tif,india_tiles/thumbs/32644_111_1463.jpg,78.68610123665876,33.82777672561496,32644,284160,3745280,286720,3747840,11,0,0,0.9538,0,1.0,0.0751,-0.0581,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:22+00:00
32644_161_558,city_structures,2025,india_tiles/tiles/city_structures/32644_161_558_2025.tif,india_tiles/thumbs/32644_161_558.jpg,80.20058923154403,12.929827880439895,32644,412160,1428480,414720,1431040,30,0.1008,0.7175,0.0555,0.0215,1.0,0.2818,-0.0109,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:23+00:00
32644_110_711,open_land,2025,india_tiles/tiles/open_land/32644_110_711_2025.tif,india_tiles/thumbs/32644_110_711.jpg,78.96831117813561,16.460473839278027,32644,281600,1820160,284160,1822720,11,0.0497,0,0.7101,0,1.0,0.3661,0.1144,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:24+00:00
32644_102_625,urban_areas,2025,india_tiles/tiles/urban_areas/32644_102_625_2025.tif,india_tiles/thumbs/32644_102_625.jpg,78.80522290811265,14.467212288017887,32644,261120,1600000,263680,1602560,21,0.6075,0.1424,0.0324,0,1.0,0.3541,0.0248,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:24+00:00
32643_220_749,agriculture,2025,india_tiles/tiles/agriculture/32643_220_749_2025.tif,india_tiles/thumbs/32643_220_749.jpg,75.59647128382993,17.357058474513558,32643,563200,1917440,565760,1920000,11,0.7235,0.0027,0.2589,0.0002,1.0,0.2265,0.0474,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:25+00:00
32643_130_1225,open_land,2021,india_tiles/tiles/open_land/32643_130_1225_2021.tif,,73.31722090003858,28.344775007870933,32643,332800,3136000,335360,3138560,11,0.0331,0,0.9651,0,1.0,0.0973,0.109,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:27+00:00
32644_232_1172,city_structures,2025,india_tiles/tiles/city_structures/32644_232_1172_2025.tif,india_tiles/thumbs/32644_232_1172.jpg,81.94971727398416,27.1331537676745,32644,593920,3000320,596480,3002880,30,0.0987,0.7258,0.0376,0.0035,1.0,0.2902,0.0036,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:27+00:00
32643_298_840,agriculture,2025,india_tiles/tiles/agriculture/32643_298_840_2025.tif,india_tiles/thumbs/32643_298_840.jpg,77.5209729331985,19.444751192883565,32643,762880,2150400,765440,2152960,11,0.9197,0.0144,0.0362,0.0115,1.0,0.3845,-0.044,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:28+00:00
32643_235_1206,urban_areas,2025,india_tiles/tiles/urban_areas/32643_235_1206_2025.tif,india_tiles/thumbs/32643_235_1206.jpg,76.04562521539543,27.920548885952957,32643,601600,3087360,604160,3089920,22,0.6122,0.1177,0.2078,0.0058,1.0,0.2971,-0.0097,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:29+00:00
32645_104_1135,agriculture,2025,india_tiles/tiles/agriculture/32645_104_1135_2025.tif,india_tiles/thumbs/32645_104_1135.jpg,84.66838954638187,26.263536709855018,32645,266240,2905600,268800,2908160,11,0.858,0.0411,0.0217,0,1.0,0.444,-0.1063,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:29+00:00
32643_227_1328,urban_areas,2025,india_tiles/tiles/urban_areas/32643_227_1328_2025.tif,india_tiles/thumbs/32643_227_1328.jpg,75.85654552919789,30.749836493478124,32643,581120,3399680,583680,3402240,21,0.7757,0.1522,0.0329,0,1.0,0.4208,-0.0992,,,"B2,B3,B4,B8,B11,B12,WorldCover_2021",2026-09-21T07:04:29+00:00
